"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
0,0,1,1,1,0,0,-0.509817415414844,-69.1979552572974,
0.02,0.02,1,1,1,0,0,-0.509813600717624,-68.8307906519295,
0.04,0.04,1,1,1,0,0,-0.509809786020403,-68.5585278152483,
0.06,0.06,1,1,1,0,0,-0.509805911718538,-66.2804942112969,
0.08,0.08,1,1,1,0,0,-0.509781891046978,-48.6869915219431,
0.1,0.1,1,1,1,0,0,-0.509706550776871,-3.34087753388711,
0.12,0.12,1,1,1,0,0,-0.509604865254086,59.8866668256339,
0.14,0.14,1,1,1,0,0,-0.50949322575574,120.098160333137,
0.16,0.16,1,1,1,0,0,-0.509375566188343,167.386975924818,
0.18,0.18,1,1,1,0,0,-0.50925665492342,205.526720848033,
0.2,0.2,1,1,1,0,0,-0.509137684053854,241.719014422576,
0.22,0.22,1,1,1,0,0,-0.509018772788931,279.113552287574,
0.24,0.24,1,1,1,0,0,-0.508899801919365,316.190602292463,
0.26,0.26,1,1,1,0,0,-0.508780890654443,350.871415234306,
0.28,0.28,1,1,1,0,0,-0.508661919784876,383.077964909172,
0.3,0.3,1,1,1,0,0,-0.508543008519954,418.870031927529,
0.32,0.32,1,1,1,0,0,-0.508424037650387,468.323148012347,
0.34,0.34,1,1,1,0,0,-0.508305126385465,529.599552985865,
0.36,0.36,1,1,1,0,0,-0.508186215120542,588.550706301728,
0.38,0.38,1,1,1,0,0,-0.508067244250976,635.048437885973,
0.4,0.4,1,1,1,0,0,-0.507948511799985,671.091887489255,
0.42,0.42,1,1,1,0,0,-0.507843846044996,704.722392102796,
0.44,0.44,1,1,1,0,0,-0.507747405730889,741.676675168055,
0.46,0.46,1,1,1,0,0,-0.507651501858578,782.671109996844,
0.48,0.48,1,1,1,0,0,-0.507555597986267,825.574383541039,
0.5,0.5,1,1,1,0,0,-0.507459694113956,868.263229379421,
0.52,0.52,1,1,1,0,0,-0.507363730637001,910.716487863466,
0.54,0.54,1,1,1,0,0,-0.50726782676469,953.169671841706,
0.56,0.56,1,1,1,0,0,-0.507171922892379,995.49567441139,
0.58,0.58,1,1,1,0,0,-0.507076019020068,1036.97529104013,
0.6,0.6,1,1,1,0,0,-0.506980055543113,1077.75052979161,
0.62,0.62,1,1,1,0,0,-0.506884151670802,1119.61906672067,
0.64,0.64,1,1,1,0,0,-0.506788247798492,1164.22658604068,
0.66,0.66,1,1,1,0,0,-0.506692343926181,1210.61129231925,
0.68,0.68,1,1,1,0,0,-0.506596380449226,1255.95433294287,
0.7,0.7,1,1,1,0,0,-0.506500476576915,1298.85388119683,
0.72,0.72,1,1,1,0,0,-0.506404572704604,1339.95843560491,
0.74,0.74,1,1,1,0,0,-0.506308668832293,1380.11721332862,
0.76,0.76,1,1,1,0,0,-0.506212764959982,1420.31339296627,
0.78,0.78,1,1,1,0,0,-0.506116801483027,1461.06344875578,
0.8,0.8,1,1,1,0,0,-0.506020897610716,1501.96221813138,
0.82,0.82,1,1,1,0,0,-0.505924993738405,1542.86158355342,
0.84,0.84,1,1,1,0,0,-0.505829089866095,1584.0060730728,
0.86,0.86,1,1,1,0,0,-0.50573312638914,1626.47721294996,
0.88,0.88,1,1,1,0,0,-0.505637222516829,1670.8583836354,
0.9,0.9,1,1,1,0,0,-0.505541318644518,1716.43999184554,
0.92,0.92,1,1,1,0,0,-0.505445414772207,1761.05123645578,
0.94,0.94,1,1,1,0,0,-0.505349451295252,1803.73501589944,
0.96,0.96,1,1,1,0,0,-0.505253547422941,1844.22161916366,
0.98,0.98,1,1,1,0,0,-0.50515764355063,1883.02528531221,
1,1,1,1,1,0,0,-0.505061739678319,1922.02773294759,
1.02,1.02,1,1,1,0,0,-0.504965835806009,1961.99994813644,
1.04,1.04,1,1,1,0,0,-0.504869872329054,2001.97857082448,
1.06,1.06,1,1,1,0,0,-0.504773968456743,2041.85571660658,
1.08,1.08,1,1,1,0,0,-0.504678064584432,2080.92000405983,
1.1,1.1,1,1,1,0,0,-0.504582160712121,2121.02156132556,
1.12,1.12,1,1,1,0,0,-0.504486197235166,2164.66035617337,
1.14,1.14,1,1,1,0,0,-0.504390293362855,2210.49811533993,
1.16,1.16,1,1,1,0,0,-0.504294389490544,2254.83264539166,
1.18,1.18,1,1,1,0,0,-0.504195147758165,2296.5089573447,
1.2,1.2,1,1,1,0,0,-0.504091733700702,2336.55180403636,
1.22,1.22,1,1,1,0,0,-0.503988140829305,2376.17443798974,
1.24,1.24,1,1,1,0,0,-0.503884547957909,2415.3588288001,
1.26,1.26,1,1,1,0,0,-0.503780955086513,2454.13254361517,
1.28,1.28,1,1,1,0,0,-0.503677362215117,2492.38024744934,
1.3,1.3,1,1,1,0,0,-0.503573769343721,2530.59382762497,
1.32,1.32,1,1,1,0,0,-0.503470176472325,2569.44175022149,
1.34,1.34,1,1,1,0,0,-0.503366583600929,2611.15814629744,
1.36,1.36,1,1,1,0,0,-0.503262990729533,2655.17319545878,
1.38,1.38,1,1,1,0,0,-0.503159397858137,2700.73349500878,
1.4,1.4,1,1,1,0,0,-0.503055804986741,2745.60804313269,
1.42,1.42,1,1,1,0,0,-0.502952212115344,2788.25754990621,
1.44,1.44,1,1,1,0,0,-0.502848619243949,2828.31753293295,
1.46,1.46,1,1,1,0,0,-0.502745026372552,2866.38731690559,
1.48,1.48,1,1,1,0,0,-0.502641433501156,2902.86744502998,
1.5,1.5,1,1,1,0,0,-0.50253784062976,2939.08203446657,
1.52,1.52,1,1,1,0,0,-0.502434247758364,2974.70981618565,
1.54,1.54,1,1,1,0,0,-0.502330654886968,3010.58912950127,
1.56,1.56,1,1,1,0,0,-0.502227062015572,3051.19032269306,
1.58,1.58,1,1,1,0,0,-0.502123469144176,3100.18355169861,
1.6,1.6,1,1,1,0,0,-0.50201987627278,3152.20469660557,
1.62,1.62,1,1,1,0,0,-0.501916343006028,3199.61393220403,
1.64,1.64,1,1,1,0,0,-0.501812750134632,3239.56185850055,
1.66,1.66,1,1,1,0,0,-0.501709157263236,3274.54501599771,
1.68,1.68,1,1,1,0,0,-0.501605564391839,3308.90858322331,
1.7,1.7,1,1,1,0,0,-0.501501971520443,3345.58183039339,
1.72,1.72,1,1,1,0,0,-0.501398378649047,3383.708834824,
1.74,1.74,1,1,1,0,0,-0.501294785777651,3422.34098861022,
1.76,1.76,1,1,1,0,0,-0.501191192906255,3461.01486564705,
1.78,1.78,1,1,1,0,0,-0.501087600034859,3499.74357895611,
1.8,1.8,1,1,1,0,0,-0.500984007163463,3539.58838921898,
1.82,1.82,1,1,1,0,0,-0.500880414292067,3580.25335937956,
1.84,1.84,1,1,1,0,0,-0.500776821420671,3621.0375388276,
1.86,1.86,1,1,1,0,0,-0.500673228549275,3661.82171827563,
1.88,1.88,1,1,1,0,0,-0.500569635677879,3702.60619574689,
1.9,1.9,1,1,1,0,0,-0.500466042806482,3743.34507566569,
1.92,1.92,1,1,1,0,0,-0.500362449935086,3783.1633618621,
1.94,1.94,1,1,1,0,0,-0.50025885706369,3821.75319635127,
1.96,1.96,1,1,1,0,0,-0.500155264192294,3859.0889491364,
1.98,1.98,1,1,1,0,0,-0.500051671320898,3895.84474873804,
2,2,1,1,1,0,0,-0.499948078449502,3933.21298605399,
2.02,2.02,1,1,1,0,0,-0.499844485578106,3974.04365712414,
2.04,2.04,1,1,1,0,0,-0.49974089270671,4016.51613810578,
2.06,2.06,1,1,1,0,0,-0.499637299835314,4058.5996987871,
2.08,2.08,1,1,1,0,0,-0.499533706963918,4098.4927888114,
2.1,2.1,1,1,1,0,0,-0.499430114092522,4137.47929220458,
2.12,2.12,1,1,1,0,0,-0.499326521221125,4176.46013315661,
2.14,2.14,1,1,1,0,0,-0.499222928349729,4215.15308367943,
2.16,2.16,1,1,1,0,0,-0.499119335478333,4252.77970712595,
2.18,2.18,1,1,1,0,0,-0.499015742606937,4289.58438253545,
2.2,2.2,1,1,1,0,0,-0.498912149735541,4325.83533080471,
2.22,2.22,1,1,1,0,0,-0.498808556864145,4362.22068754558,
