"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
0,0,1,1,1,0,0,-0.499704235850606,208.084970783313,
0.02,0.02,1,1,1,0,0,-0.499708080350148,209.146622620374,
0.04,0.04,1,1,1,0,0,-0.499711924849691,210.87769048586,
0.06,0.06,1,1,1,0,0,-0.499715739546912,221.926547414467,
0.08,0.08,1,1,1,0,0,-0.499719584046454,251.468322479839,
0.1,0.1,1,1,1,0,0,-0.499698990641928,293.851620013308,
0.12,0.12,1,1,1,0,0,-0.499617391884194,337.122598329954,
0.14,0.14,1,1,1,0,0,-0.499518388570391,378.770262801106,
0.16,0.16,1,1,1,0,0,-0.499405735793096,422.145605123631,
0.18,0.18,1,1,1,0,0,-0.499284470144733,466.008699696367,
0.2,0.2,1,1,1,0,0,-0.499161684577946,507.55503627318,
0.22,0.22,1,1,1,0,0,-0.499038928813481,545.797114919096,
0.24,0.24,1,1,1,0,0,-0.498916143246694,582.980019045956,
0.26,0.26,1,1,1,0,0,-0.498793357679907,621.105980395309,
0.28,0.28,1,1,1,0,0,-0.498670601915442,661.518934671623,
0.3,0.3,1,1,1,0,0,-0.498547816348655,703.516068619535,
0.32,0.32,1,1,1,0,0,-0.498425030781868,743.017109099705,
0.34,0.34,1,1,1,0,0,-0.498302275017403,777.414725478033,
0.36,0.36,1,1,1,0,0,-0.498179489450615,810.494781206741,
0.38,0.38,1,1,1,0,0,-0.49805673368615,848.370477558239,
0.4,0.4,1,1,1,0,0,-0.497933948119363,889.868348109119,
0.42,0.42,1,1,1,0,0,-0.497821563562967,931.88880237389,
0.44,0.44,1,1,1,0,0,-0.49773436196869,973.052961425696,
0.46,0.46,1,1,1,0,0,-0.497653776489906,1013.8493598257,
0.48,0.48,1,1,1,0,0,-0.497573220813443,1054.56640954373,
0.5,0.5,1,1,1,0,0,-0.497492635334659,1095.19688351675,
0.52,0.52,1,1,1,0,0,-0.497412079658196,1134.8877647872,
0.54,0.54,1,1,1,0,0,-0.497331494179412,1173.6380102738,
0.56,0.56,1,1,1,0,0,-0.497250938502949,1214.14547516333,
0.58,0.58,1,1,1,0,0,-0.497170353024165,1256.0380774673,
0.6,0.6,1,1,1,0,0,-0.497089797347702,1297.5121806665,
0.62,0.62,1,1,1,0,0,-0.497009211868918,1339.03396758068,
0.64,0.64,1,1,1,0,0,-0.496928656192455,1380.4030175953,
0.66,0.66,1,1,1,0,0,-0.496846819016145,1420.45242079777,
0.68,0.68,1,1,1,0,0,-0.496743643377258,1458.44203652459,
0.7,0.7,1,1,1,0,0,-0.496631318425505,1498.37267747444,
0.72,0.72,1,1,1,0,0,-0.496516192055481,1540.87913310301,
0.74,0.74,1,1,1,0,0,-0.496401095487779,1583.48423441695,
0.76,0.76,1,1,1,0,0,-0.496285998920077,1624.01181587374,
0.78,0.78,1,1,1,0,0,-0.496170902352375,1661.18604007436,
0.8,0.8,1,1,1,0,0,-0.496055805784674,1698.14315436019,
0.82,0.82,1,1,1,0,0,-0.495940709216972,1736.3755099986,
0.84,0.84,1,1,1,0,0,-0.495825582846948,1773.48252996341,
0.86,0.86,1,1,1,0,0,-0.495710486279246,1811.1534098579,
0.88,0.88,1,1,1,0,0,-0.495595389711544,1850.65042702462,
0.9,0.9,1,1,1,0,0,-0.495480293143842,1891.4018239186,
0.92,0.92,1,1,1,0,0,-0.49536519657614,1932.38538089991,
0.94,0.94,1,1,1,0,0,-0.495250100008438,1971.87464946294,
0.96,0.96,1,1,1,0,0,-0.495135003440737,2009.50335907199,
0.98,0.98,1,1,1,0,0,-0.495021396989136,2046.58802729541,
1,1,1,1,1,0,0,-0.494925224895927,2084.27574550174,
1.02,1.02,1,1,1,0,0,-0.49483698022038,2122.44462219458,
1.04,1.04,1,1,1,0,0,-0.494748735544832,2160.63897987261,
1.06,1.06,1,1,1,0,0,-0.494660490869284,2198.20629669862,
1.08,1.08,1,1,1,0,0,-0.494572246193736,2234.86926206765,
1.1,1.1,1,1,1,0,0,-0.494484001518189,2271.26043026129,
1.12,1.12,1,1,1,0,0,-0.494395756842641,2308.03232311674,
1.14,1.14,1,1,1,0,0,-0.494307512167093,2344.88393718317,
1.16,1.16,1,1,1,0,0,-0.494219267491546,2381.73570026122,
1.18,1.18,1,1,1,0,0,-0.494131022815998,2418.69281454706,
1.2,1.2,1,1,1,0,0,-0.49404277814045,2454.15236215921,
1.22,1.22,1,1,1,0,0,-0.493954533464902,2488.46317927511,
1.24,1.24,1,1,1,0,0,-0.493866288789355,2526.75826880104,
1.26,1.26,1,1,1,0,0,-0.493778073916129,2568.63053102034,
1.28,1.28,1,1,1,0,0,-0.493689829240581,2608.80257077729,
1.3,1.3,1,1,1,0,0,-0.493601584565034,2645.2445519297,
1.32,1.32,1,1,1,0,0,-0.493513339889486,2680.03846468302,
1.34,1.34,1,1,1,0,0,-0.493425095213938,2715.60425757262,
1.36,1.36,1,1,1,0,0,-0.493330651655407,2751.69427330381,
1.38,1.38,1,1,1,0,0,-0.493223452703045,2788.65779508885,
1.4,1.4,1,1,1,0,0,-0.493112200634885,2825.13524100428,
1.42,1.42,1,1,1,0,0,-0.493000918764404,2860.47692043346,
1.44,1.44,1,1,1,0,0,-0.492889666696245,2895.62130849191,
1.46,1.46,1,1,1,0,0,-0.492778414628086,2930.76569655035,
1.48,1.48,1,1,1,0,0,-0.492667132757604,2966.1356881853,
1.5,1.5,1,1,1,0,0,-0.492555880689445,3001.56409237111,
1.52,1.52,1,1,1,0,0,-0.492444598818964,3036.74692542476,
1.54,1.54,1,1,1,0,0,-0.492333346750805,3071.92946045518,
1.56,1.56,1,1,1,0,0,-0.492222094682645,3107.10871723021,
1.58,1.58,1,1,1,0,0,-0.492110812812164,3142.0397206641,
1.6,1.6,1,1,1,0,0,-0.491999560744005,3176.91558980254,
1.62,1.62,1,1,1,0,0,-0.491888278873523,3211.45171247174,
1.64,1.64,1,1,1,0,0,-0.491777026805364,3244.77368854818,
1.66,1.66,1,1,1,0,0,-0.491665744934883,3278.0378481202,
1.68,1.68,1,1,1,0,0,-0.491554492866724,3311.30230571545,
1.7,1.7,1,1,1,0,0,-0.491443240798564,3344.87819757417,
1.72,1.72,1,1,1,0,0,-0.491331958928083,3379.60505510329,
1.74,1.74,1,1,1,0,0,-0.491220706859924,3415.00157080471,
1.76,1.76,1,1,1,0,0,-0.491109424989442,3450.45292277835,
1.78,1.78,1,1,1,0,0,-0.490998172921283,3485.90397672878,
1.8,1.8,1,1,1,0,0,-0.490886891050802,3521.35532870242,
1.82,1.82,1,1,1,0,0,-0.490775638982643,3555.4548473563,
1.84,1.84,1,1,1,0,0,-0.490664386914483,3588.35065023008,
1.86,1.86,1,1,1,0,0,-0.490553194450968,3621.23125391971,
1.88,1.88,1,1,1,0,0,-0.490451777149081,3654.11185760935,
1.9,1.9,1,1,1,0,0,-0.49035587327677,3686.99246129898,
1.92,1.92,1,1,1,0,0,-0.490260446241611,3719.87306498861,
1.94,1.94,1,1,1,0,0,-0.490168357066521,3752.75396670146,
1.96,1.96,1,1,1,0,0,-0.490076297693753,3785.63457039109,
1.98,1.98,1,1,1,0,0,-0.489984208518663,3818.51517408072,
2,2,1,1,1,0,0,-0.489892119343572,3851.39577777035,
2.02,2.02,1,1,1,0,0,-0.489800030168482,3884.27638145998,
2.04,2.04,1,1,1,0,0,-0.489707970795714,3917.15698514962,
2.06,2.06,1,1,1,0,0,-0.489615881620623,3950.03758883925,
2.08,2.08,1,1,1,0,0,-0.489523792445533,3982.86186614056,
2.1,2.1,1,1,1,0,0,-0.489431733072765,4015.40272336093,
2.12,2.12,1,1,1,0,0,-0.489339643897674,4047.93821616338,
2.14,2.14,1,1,1,0,0,-0.489247554722584,4079.83176695287,
2.16,2.16,1,1,1,0,0,-0.489155465547494,4111.1090057262,
2.18,2.18,1,1,1,0,0,-0.489063406174726,4142.07481023605,
2.2,2.2,1,1,1,0,0,-0.488971316999635,4173.03703846728,
2.22,2.22,1,1,1,0,0,-0.488879227824545,4204.6689248708,
2.24,2.24,1,1,1,0,0,-0.488787138649455,4237.38174148833,
2.26,2.26,1,1,1,0,0,-0.488695079276686,4270.30079017317,
2.28,2.28,1,1,1,0,0,-0.488602990101596,4302.97277760975,
2.3,2.3,1,1,1,0,0,-0.488510900926506,4335.16256347857,
2.32,2.32,1,1,1,0,0,-0.488418811751415,4367.35264737061,
2.34,2.34,1,1,1,0,0,-0.488326752378647,4398.8483371632,
