"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
0,0,1,1,1,0,0,-0.499712997733284,219.175737227041,
0.02,0.02,1,1,1,0,0,-0.499709153233742,218.561995661149,
0.04,0.04,1,1,1,0,0,-0.499705308734199,218.078806891473,
0.06,0.06,1,1,1,0,0,-0.499701494036979,217.958461390495,
0.08,0.08,1,1,1,0,0,-0.499697649537436,218.593884145543,
0.1,0.1,1,1,1,0,0,-0.499693805037893,222.817748596915,
0.12,0.12,1,1,1,0,0,-0.499689960538351,248.731444877885,
0.14,0.14,1,1,1,0,0,-0.499631846010381,311.247980343529,
0.16,0.16,1,1,1,0,0,-0.499506795467119,389.595620942181,
0.18,0.18,1,1,1,0,0,-0.49935528046189,462.146318782758,
0.2,0.2,1,1,1,0,0,-0.499193334643948,526.174744663028,
0.22,0.22,1,1,1,0,0,-0.49902837879148,582.562823792759,
0.24,0.24,1,1,1,0,0,-0.498863393136691,629.080299415239,
0.26,0.26,1,1,1,0,0,-0.498698407481901,664.961847904993,
0.28,0.28,1,1,1,0,0,-0.498533421827111,694.112243978483,
0.3,0.3,1,1,1,0,0,-0.498368465974644,721.779974539226,
0.32,0.32,1,1,1,0,0,-0.498228901700551,750.528411796572,
0.34,0.34,1,1,1,0,0,-0.498142713385223,780.247212653818,
0.36,0.36,1,1,1,0,0,-0.49807136662627,810.187891797344,
0.38,0.38,1,1,1,0,0,-0.498002314646113,840.457961103275,
0.4,0.4,1,1,1,0,0,-0.497933262665957,872.348233637356,
0.42,0.42,1,1,1,0,0,-0.497864180883478,907.215311090851,
0.44,0.44,1,1,1,0,0,-0.497795367321897,945.11373171277,
0.46,0.46,1,1,1,0,0,-0.497730130038961,985.325706581012,
0.48,0.48,1,1,1,0,0,-0.497664922558347,1027.16861351328,
0.5,0.5,1,1,1,0,0,-0.497599685275411,1070.60937193229,
0.52,0.52,1,1,1,0,0,-0.497534477794797,1115.10051318542,
0.54,0.54,1,1,1,0,0,-0.497469240511861,1159.98713124968,
0.56,0.56,1,1,1,0,0,-0.497404033031247,1204.11408812962,
0.58,0.58,1,1,1,0,0,-0.49733879574831,1247.34935953939,
0.6,0.6,1,1,1,0,0,-0.497271859733018,1290.39717434462,
0.62,0.62,1,1,1,0,0,-0.497176194279284,1333.44513816147,
0.64,0.64,1,1,1,0,0,-0.497067833036362,1376.46747198151,
0.66,0.66,1,1,1,0,0,-0.496956580968203,1419.09671317616,
0.68,0.68,1,1,1,0,0,-0.496845328900043,1461.54132898687,
0.7,0.7,1,1,1,0,0,-0.496734047029562,1504.0519569405,
0.72,0.72,1,1,1,0,0,-0.496622794961403,1546.66823412514,
0.74,0.74,1,1,1,0,0,-0.496511513090921,1588.85610293299,
0.76,0.76,1,1,1,0,0,-0.496400261022762,1629.94799135427,
0.78,0.78,1,1,1,0,0,-0.496289008954603,1669.81738853269,
0.8,0.8,1,1,1,0,0,-0.496177727084122,1709.64252926313,
0.82,0.82,1,1,1,0,0,-0.496066475015962,1750.34236814029,
0.84,0.84,1,1,1,0,0,-0.495955193145481,1792.74317453785,
0.86,0.86,1,1,1,0,0,-0.495843941077322,1835.98321431911,
0.88,0.88,1,1,1,0,0,-0.49573265920684,1879.99334609735,
0.9,0.9,1,1,1,0,0,-0.495621407138681,1924.73065452907,
0.92,0.92,1,1,1,0,0,-0.495510155070522,1969.96297952696,
0.94,0.94,1,1,1,0,0,-0.495398873200041,2015.2553562034,
0.96,0.96,1,1,1,0,0,-0.495287621131881,2059.8132546575,
0.98,0.98,1,1,1,0,0,-0.4951763392614,2102.46782782574,
1,1,1,1,1,0,0,-0.495065087193241,2143.20417454719,
1.02,1.02,1,1,1,0,0,-0.494953805322759,2182.10291010248,
1.04,1.04,1,1,1,0,0,-0.4948425532546,2219.85842859106,
1.06,1.06,1,1,1,0,0,-0.494731301186441,2256.67040556942,
1.08,1.08,1,1,1,0,0,-0.49462001931596,2292.88082268094,
1.1,1.1,1,1,1,0,0,-0.4945087672478,2328.10612404325,
1.12,1.12,1,1,1,0,0,-0.494397485377319,2361.72895455891,
1.14,1.14,1,1,1,0,0,-0.49428623330916,2393.95301309787,
1.16,1.16,1,1,1,0,0,-0.494174981241001,2425.27599843526,
1.18,1.18,1,1,1,0,0,-0.494063699370519,2455.94214059877,
1.2,1.2,1,1,1,0,0,-0.49395244730236,2485.97677156197,
1.22,1.22,1,1,1,0,0,-0.493841165431879,2515.79101435499,
1.24,1.24,1,1,1,0,0,-0.493732565770381,2546.20607195679,
1.26,1.26,1,1,1,0,0,-0.493631774317256,2579.66245650484,
1.28,1.28,1,1,1,0,0,-0.493532025945402,2616.92906790324,
1.3,1.3,1,1,1,0,0,-0.493432486189803,2656.57539470249,
1.32,1.32,1,1,1,0,0,-0.493336582317492,2696.23215231441,
1.34,1.34,1,1,1,0,0,-0.493240648642859,2734.44081510693,
1.36,1.36,1,1,1,0,0,-0.493144744770548,2771.32297655328,
1.38,1.38,1,1,1,0,0,-0.493048811095916,2806.71979027791,
1.4,1.4,1,1,1,0,0,-0.492952907223605,2840.95312135696,
1.42,1.42,1,1,1,0,0,-0.492856973548972,2874.33321196104,
1.44,1.44,1,1,1,0,0,-0.492761069676661,2906.93575998768,
1.46,1.46,1,1,1,0,0,-0.492665136002028,2939.17144143216,
1.48,1.48,1,1,1,0,0,-0.492569232129717,2971.42917659483,
1.5,1.5,1,1,1,0,0,-0.492473298455084,3004.95231834386,
1.52,1.52,1,1,1,0,0,-0.492377394582773,3040.38966322623,
1.54,1.54,1,1,1,0,0,-0.49228146090814,3077.66759950693,
1.56,1.56,1,1,1,0,0,-0.49218555703583,3116.81175718278,
1.58,1.58,1,1,1,0,0,-0.492089623361197,3157.34857735934,
1.6,1.6,1,1,1,0,0,-0.491993719488886,3198.03679333097,
1.62,1.62,1,1,1,0,0,-0.491897815616575,3238.34741388459,
1.64,1.64,1,1,1,0,0,-0.491801881941942,3277.27550472691,
1.66,1.66,1,1,1,0,0,-0.491705978069631,3314.83745713499,
1.68,1.68,1,1,1,0,0,-0.491610044394998,3351.22281387586,
1.7,1.7,1,1,1,0,0,-0.491514140522687,3386.48253691991,
1.72,1.72,1,1,1,0,0,-0.491418206848054,3420.53377581237,
1.74,1.74,1,1,1,0,0,-0.491322302975743,3453.5773982026,
1.76,1.76,1,1,1,0,0,-0.491226369301111,3485.69923477757,
1.78,1.78,1,1,1,0,0,-0.4911304654288,3517.6973917168,
1.8,1.8,1,1,1,0,0,-0.491034531754167,3549.69554865603,
1.82,1.82,1,1,1,0,0,-0.490938627881856,3581.99292090678,
1.84,1.84,1,1,1,0,0,-0.490842694207223,3618.82739863814,
1.86,1.86,1,1,1,0,0,-0.490746790334912,3663.09219125671,
1.88,1.88,1,1,1,0,0,-0.490650856660279,3711.34215035496,
1.9,1.9,1,1,1,0,0,-0.490554952787968,3758.1994469525,
1.92,1.92,1,1,1,0,0,-0.490459048915657,3801.22833728335,
1.94,1.94,1,1,1,0,0,-0.490363115241024,3840.44670274064,
1.96,1.96,1,1,1,0,0,-0.490267211368713,3877.59380682836,
1.98,1.98,1,1,1,0,0,-0.49016540663664,3913.10237925998,
2,2,1,1,1,0,0,-0.490045124464904,3947.17120152234,
2.02,2.02,1,1,1,0,0,-0.489919358665913,3980.13763589894,
2.04,2.04,1,1,1,0,0,-0.489792758401905,4011.89707624004,
2.06,2.06,1,1,1,0,0,-0.489666128335575,4042.81460098847,
2.08,2.08,1,1,1,0,0,-0.489539528071568,4073.08034895773,
2.1,2.1,1,1,1,0,0,-0.48941292780756,4103.09456533046,
2.12,2.12,1,1,1,0,0,-0.489286297741231,4132.91268242532,
2.14,2.14,1,1,1,0,0,-0.489159697477223,4162.72394498615,
2.16,2.16,1,1,1,0,0,-0.489047670548691,4192.53520754698,
2.18,2.18,1,1,1,0,0,-0.488961214012465,4222.70529006306,
2.2,2.2,1,1,1,0,0,-0.488880658336003,4254.94216360042,
2.22,2.22,1,1,1,0,0,-0.488800072857218,4289.084895621,
2.24,2.24,1,1,1,0,0,-0.488719517180756,4324.88821301586,
2.26,2.26,1,1,1,0,0,-0.488638991306615,4361.43062799296,
2.28,2.28,1,1,1,0,0,-0.488562250327373,4398.14798259939,
2.3,2.3,1,1,1,0,0,-0.488485509348131,4434.86533720583,
2.32,2.32,1,1,1,0,0,-0.488408768368889,4471.16724744548,
2.34,2.34,1,1,1,0,0,-0.488332027389647,4505.49833014025,
2.36,2.36,1,1,1,0,0,-0.488255316212728,4538.54254857691,
2.38,2.38,1,1,1,0,0,-0.488178575233486,4570.53534109821,
2.4,2.4,1,1,1,0,0,-0.488101834254244,4601.48207212207,
2.42,2.42,1,1,1,0,0,-0.488025093275002,4631.82441205852,
2.44,2.44,1,1,1,0,0,-0.487948382098082,4662.13456548736,
2.46,2.46,1,1,1,0,0,-0.487858855922687,4692.51743658154,
2.48,2.48,1,1,1,0,0,-0.487755829295409,4725.49161956183,
2.5,2.5,1,1,1,0,0,-0.487648421726793,4760.98707897183,
2.52,2.52,1,1,1,0,0,-0.487540984355854,4797.04729238116,
2.54,2.54,1,1,1,0,0,-0.487433546984915,4833.07204102748,
2.56,2.56,1,1,1,0,0,-0.487326139416299,4866.89946448274,
2.58,2.58,1,1,1,0,0,-0.48721870204536,4898.45505694228,
2.6,2.6,1,1,1,0,0,-0.487111264674421,4928.7920324608,
2.62,2.62,1,1,1,0,0,-0.487003857105804,4958.98685090402,
2.64,2.64,1,1,1,0,0,-0.486896419734866,4989.18196737046,
2.66,2.66,1,1,1,0,0,-0.486788982363927,5019.52818160876,
2.68,2.68,1,1,1,0,0,-0.48668157479531,5051.3779229851,
2.7,2.7,1,1,1,0,0,-0.486574137424372,5084.4370425827,
2.72,2.72,1,1,1,0,0,-0.486466700053433,5118.57142995316,
2.74,2.74,1,1,1,0,0,-0.486359292484816,5153.09682378648,
2.76,2.76,1,1,1,0,0,-0.486251855113878,5187.6269859913,
2.78,2.78,1,1,1,0,0,-0.486144417742939,5221.71726592541,
2.8,2.8,1,1,1,0,0,-0.486037010174322,5254.47657416505,
2.82,2.82,1,1,1,0,0,-0.485929572803384,5286.90209639981,
2.84,2.84,1,1,1,0,0,-0.485822135432445,5319.20721725425,
2.86,2.86,1,1,1,0,0,-0.485714698061506,5351.51233810868,
2.88,2.88,1,1,1,0,0,-0.48560729049289,5384.97080881926,
2.9,2.9,1,1,1,0,0,-0.485499853121951,5419.67024821227,
2.92,2.92,1,1,1,0,0,-0.485392415751012,5454.43108038831,
2.94,2.94,1,1,1,0,0,-0.485285008182396,5488.97793189338,
2.96,2.96,1,1,1,0,0,-0.485177570811457,5521.52206736916,
2.98,2.98,1,1,1,0,0,-0.485070133440518,5553.15961621383,
3,3,1,1,1,0,0,-0.484962725871901,5584.55099787991,
3.02,3.02,1,1,1,0,0,-0.484855288500963,5615.82376630496,
3.04,3.04,1,1,1,0,0,-0.484747851130024,5647.09295845139,
3.06,3.06,1,1,1,0,0,-0.484640443561407,5678.46526663147,
3.08,3.08,1,1,1,0,0,-0.484533006190469,5710.53256495743,
3.1,3.1,1,1,1,0,0,-0.48442556881953,5742.64635490549,
3.12,3.12,1,1,1,0,0,-0.484318161250913,5774.34946885827,
3.14,3.14,1,1,1,0,0,-0.484210723879975,5804.44266138393,
3.16,3.16,1,1,1,0,0,-0.484103286509036,5834.40710787915,
3.18,3.18,1,1,1,0,0,-0.483995878940419,5865.58450887424,
3.2,3.2,1,1,1,0,0,-0.483888441569481,5899.52935347764,
3.22,3.22,1,1,1,0,0,-0.483782136686779,5934.00765964242,
3.24,3.24,1,1,1,0,0,-0.483681524047587,5968.49967487525,
3.26,3.26,1,1,1,0,0,-0.483581775675733,6001.99927279,
3.28,3.28,1,1,1,0,0,-0.48348202730388,6033.19217099246,
3.3,3.3,1,1,1,0,0,-0.483385914815315,6063.10893377269,
3.32,3.32,1,1,1,0,0,-0.483289981140682,6092.0374515599,
3.34,3.34,1,1,1,0,0,-0.483194077268371,6120.19885758232,
3.36,3.36,1,1,1,0,0,-0.483098143593738,6147.83872297212,
3.38,3.38,1,1,1,0,0,-0.483002239721427,6175.38620116414,
3.4,3.4,1,1,1,0,0,-0.482906306046794,6202.93367935616,
3.42,3.42,1,1,1,0,0,-0.482810402174483,6231.4694025412,
3.44,3.44,1,1,1,0,0,-0.48271446849985,6261.74736946243,
3.46,3.46,1,1,1,0,0,-0.482618564627539,6292.63151561037,
3.48,3.48,1,1,1,0,0,-0.482522660755229,6323.55500082318,
3.5,3.5,1,1,1,0,0,-0.482426727080596,6354.47908208242,
3.52,3.52,1,1,1,0,0,-0.482330823208285,6385.40316334166,
3.54,3.54,1,1,1,0,0,-0.482234889533652,6416.2217443815,
3.56,3.56,1,1,1,0,0,-0.482138985661341,6446.13254669736,
3.58,3.58,1,1,1,0,0,-0.482043051986708,6475.56174349189,
3.6,3.6,1,1,1,0,0,-0.481947148114397,6504.79960938005,
3.62,3.62,1,1,1,0,0,-0.481851214439764,6533.88429133383,
3.64,3.64,1,1,1,0,0,-0.481755310567453,6562.64949239723,
3.66,3.66,1,1,1,0,0,-0.48165937689282,6591.09998094173,
3.68,3.68,1,1,1,0,0,-0.48156347302051,6619.31443509708,
3.7,3.7,1,1,1,0,0,-0.481467539345877,6647.4758411195,
3.72,3.72,1,1,1,0,0,-0.481371635473566,6675.63724714192,
3.74,3.74,1,1,1,0,0,-0.481275701798933,6703.79865316435,
3.76,3.76,1,1,1,0,0,-0.481179797926622,6732.50305749114,
3.78,3.78,1,1,1,0,0,-0.481083894054311,6763.32283062386,
3.8,3.8,1,1,1,0,0,-0.480987960379678,6794.9150799393,
3.82,3.82,1,1,1,0,0,-0.480892056507367,6826.60627296333,
3.84,3.84,1,1,1,0,0,-0.480796122832734,6858.29746598735,
3.86,3.86,1,1,1,0,0,-0.480700218960423,6889.9761420362,
3.88,3.88,1,1,1,0,0,-0.480604285285791,6919.62647205896,
3.9,3.9,1,1,1,0,0,-0.48050838141348,6947.73304180916,
3.92,3.92,1,1,1,0,0,-0.480412447738847,6975.55052903727,
3.94,3.94,1,1,1,0,0,-0.480316543866536,7003.32808115408,
3.96,3.96,1,1,1,0,0,-0.480220610191903,7031.05675746303,
3.98,3.98,1,1,1,0,0,-0.480124706319592,7058.41111660937,
4,4,1,1,1,0,0,-0.480028772644959,7085.65163088619,
4.02,4.02,1,1,1,0,0,-0.479932868772648,7112.82181168341,
4.04,4.04,1,1,1,0,0,-0.479836935098015,7139.98603201626,
4.06,4.06,1,1,1,0,0,-0.479741031225705,7167.14965630266,
4.08,4.08,1,1,1,0,0,-0.479645127353394,7194.31328058907,
4.1,4.1,1,1,1,0,0,-0.479549193678761,7221.47750092192,
4.12,4.12,1,1,1,0,0,-0.47945328980645,7248.65900660145,
4.14,4.14,1,1,1,0,0,-0.479357356131817,7276.04257202321,
4.16,4.16,1,1,1,0,0,-0.479261452259506,7303.50660371401,
4.18,4.18,1,1,1,0,0,-0.479165518584873,7331.30382536326,
4.2,4.2,1,1,1,0,0,-0.479069614712562,7359.40860697414,
4.22,4.22,1,1,1,0,0,-0.478973681037929,7387.60875601499,
4.24,4.24,1,1,1,0,0,-0.478877777165618,7416.2958749951,
4.26,4.26,1,1,1,0,0,-0.478781843490986,7445.55460250856,
4.28,4.28,1,1,1,0,0,-0.478685939618675,7474.86697420139,
4.3,4.3,1,1,1,0,0,-0.478590005944042,7504.17934589421,
4.32,4.32,1,1,1,0,0,-0.478494102071731,7533.49171758703,
4.34,4.34,1,1,1,0,0,-0.478398168397098,7562.23426888581,
4.36,4.36,1,1,1,0,0,-0.478302264524787,7589.25782225945,
4.38,4.38,1,1,1,0,0,-0.478206360652476,7615.51068758969,
4.4,4.4,1,1,1,0,0,-0.478110426977843,7641.38089110719,
4.42,4.42,1,1,1,0,0,-0.478014523105532,7666.87141304414,
4.44,4.44,1,1,1,0,0,-0.477918589430899,7692.13901361354,
4.46,4.46,1,1,1,0,0,-0.477822685558589,7717.38456046476,
4.48,4.48,1,1,1,0,0,-0.477726751883956,7743.11886539456,
4.5,4.5,1,1,1,0,0,-0.477630848011645,7772.75965867433,
4.52,4.52,1,1,1,0,0,-0.477534914337012,7803.90785339399,
4.54,4.54,1,1,1,0,0,-0.477439010464701,7835.21519251241,
4.56,4.56,1,1,1,0,0,-0.477343076790068,7866.52312767726,
4.58,4.58,1,1,1,0,0,-0.477247172917757,7897.29223686281,
4.6,4.6,1,1,1,0,0,-0.477151239243124,7925.13714222704,
4.62,4.62,1,1,1,0,0,-0.477055335370813,7951.68564659017,
4.64,4.64,1,1,1,0,0,-0.47695940169618,7977.55942638629,
4.66,4.66,1,1,1,0,0,-0.476862782568141,8003.07677041291,
4.68,4.68,1,1,1,0,0,-0.476761395068575,8028.02250590618,
4.7,4.7,1,1,1,0,0,-0.476657802197179,8052.47888727444,
4.72,4.72,1,1,1,0,0,-0.476554209325783,8076.48227335036,
4.74,4.74,1,1,1,0,0,-0.476450616454387,8100.24545271206,
4.76,4.76,1,1,1,0,0,-0.476347023582991,8123.95617998727,
4.78,4.78,1,1,1,0,0,-0.476243460513917,8147.66690726249,
4.8,4.8,1,1,1,0,0,-0.476139867642521,8172.87907551322,
4.82,4.82,1,1,1,0,0,-0.476036274771125,8200.87776085827,
4.84,4.84,1,1,1,0,0,-0.475932681899729,8230.03992884889,
4.86,4.86,1,1,1,0,0,-0.475829089028333,8259.49296750092,
4.88,4.88,1,1,1,0,0,-0.475725496156936,8288.95852312812,
4.9,4.9,1,1,1,0,0,-0.47562190328554,8318.42467480176,
4.92,4.92,1,1,1,0,0,-0.475518310414144,8346.01328019796,
4.94,4.94,1,1,1,0,0,-0.475414717542748,8371.0657080035,
4.96,4.96,1,1,1,0,0,-0.475311124671352,8394.82173480795,
4.98,4.98,1,1,1,0,0,-0.475207531799956,8418.21298119278,
5,5,1,1,1,0,0,-0.47510393892856,8441.53985456238,
5.02,5.02,1,1,1,0,0,-0.475000346057164,8464.86732397842,
5.04,5.04,1,1,1,0,0,-0.474896753185768,8488.19419734802,
5.06,5.06,1,1,1,0,0,-0.474793160314372,8511.83220695788,
5.08,5.08,1,1,1,0,0,-0.474689567442976,8538.44150805762,
5.1,5.1,1,1,1,0,0,-0.474585974571579,8566.26078342504,
5.12,5.12,1,1,1,0,0,-0.474482411502505,8594.19211552267,
5.14,5.14,1,1,1,0,0,-0.474378818631109,8622.1234476203,
5.16,5.16,1,1,1,0,0,-0.474275225759713,8650.01484460664,
5.18,5.18,1,1,1,0,0,-0.474171632888317,8675.85226557009,
5.2,5.2,1,1,1,0,0,-0.474068040016921,8700.19957044032,
5.22,5.22,1,1,1,0,0,-0.473964447145525,8724.20832093418,
5.24,5.24,1,1,1,0,0,-0.473860854274129,8748.14912213418,
5.26,5.26,1,1,1,0,0,-0.473757261402733,8772.09051938063,
5.28,5.28,1,1,1,0,0,-0.473653668531337,8796.03132058063,
5.3,5.3,1,1,1,0,0,-0.473550075659941,8821.1320281476,
5.32,5.32,1,1,1,0,0,-0.473446482788544,8846.97362143611,
5.34,5.34,1,1,1,0,0,-0.473342889917148,8872.83309611774,
5.36,5.36,1,1,1,0,0,-0.473239297045752,8898.69257079936,
5.38,5.38,1,1,1,0,0,-0.473135704174356,8924.55204548099,
5.4,5.4,1,1,1,0,0,-0.47303211130296,8950.41152016262,
5.42,5.42,1,1,1,0,0,-0.472928518431564,8976.27099484425,
5.44,5.44,1,1,1,0,0,-0.472824925560168,9002.13046952588,
5.46,5.46,1,1,1,0,0,-0.472721332688772,9027.9899442075,
5.48,5.48,1,1,1,0,0,-0.472617769619698,9053.84882284269,
5.5,5.5,1,1,1,0,0,-0.472514176748302,9079.725582871,
5.52,5.52,1,1,1,0,0,-0.472410583876906,9106.70622090117,
5.54,5.54,1,1,1,0,0,-0.472306991005509,9134.02302912196,
5.56,5.56,1,1,1,0,0,-0.472203398134113,9161.34043338918,
5.58,5.58,1,1,1,0,0,-0.472099805262717,9188.12497214148,
5.6,5.6,1,1,1,0,0,-0.471996212391321,9212.64811071071,
5.62,5.62,1,1,1,0,0,-0.471892619519925,9236.33201589625,
5.64,5.64,1,1,1,0,0,-0.471789026648529,9259.68332716978,
5.66,5.66,1,1,1,0,0,-0.471685433777133,9282.63886360895,
5.68,5.68,1,1,1,0,0,-0.471581840905737,9305.28266776143,
5.7,5.7,1,1,1,0,0,-0.471478248034341,9327.640369624,
5.72,5.72,1,1,1,0,0,-0.471374655162945,9349.97005730403,
5.74,5.74,1,1,1,0,0,-0.471271062291549,9372.29974498405,
5.76,5.76,1,1,1,0,0,-0.471167469420152,9394.62943266407,
5.78,5.78,1,1,1,0,0,-0.471063876548756,9416.9591203441,
5.8,5.8,1,1,1,0,0,-0.47096028367736,9439.28880802412,
5.82,5.82,1,1,1,0,0,-0.470856690805964,9461.92426752647,
5.84,5.84,1,1,1,0,0,-0.47075312773689,9485.09676486882,
5.86,5.86,1,1,1,0,0,-0.470649534865494,9508.27045430404,
5.88,5.88,1,1,1,0,0,-0.470545941994098,9531.44414373926,
5.9,5.9,1,1,1,0,0,-0.470442349122702,9554.61842922091,
5.92,5.92,1,1,1,0,0,-0.470106864383546,9118.5413189599,
5.94,5.94,1,1,1,0,0,-0.469109678688232,6006.91248357254,
5.96,5.96,1,1,1,0,0,-0.468835556930147,1627.71654250469,
5.98,5.98,1,1,1,0,0,-0.4693651143904,-805.75233772848,
6,6,1,1,1,0,0,-0.469880366736075,-848.825335495692,
6.02,6.02,1,1,1,0,0,-0.470004761628252,-83.9115664526508,
6.04,6.04,1,1,1,0,0,-0.469792837316256,280.361394130483,
6.06,6.06,1,1,1,0,0,-0.469535762486376,165.184230436476,
6.08,6.08,1,1,1,0,0,-0.469344610392839,-29.2581873463829,
6.1,6.1,1,1,1,0,0,-0.469218695582238,-79.8406624182472,
6.12,6.12,1,1,1,0,0,-0.469106281223519,-30.0650479579557,
